"","id_str"
"1","825473731958960128"
"2","1561543978767491072"
"3","1526324324684144640"
"4","1211094273753370629"
"5","516162001"
"6","1357032948181123084"
"7","811993850"
"8","980759990410661889"
"9","3355393539"
"10","608475754"
"11","32267338"
"12","217423692"
"13","2624298587"
"14","1570092892424658944"
"15","1324172744649367552"
"16","75941893"
"17","738190127462158336"
"18","2763443085"
"19","1034073061"
"20","32267338"
"21","1516506643"
"22","760715157601447936"
"23","1485609514497986563"
"24","1572790756691124226"
"25","1034073061"
"26","765903691505360897"
"27","272054601"
"28","379715835"
"29","1211094273753370629"
"30","1191524875069992961"
"31","3103944679"
"32","21271320"
"33","1540868041621348356"
"34","1339705068"
"35","21271320"
"36","1196147009893412864"
"37","1296149596591337473"
"38","918126008859021312"
"39","3404966290"
"40","1296149596591337473"
"41","2325113486"
"42","516162001"
"43","2993162215"
"44","1003252070"
"45","3404966290"
"46","362373349"
"47","1362277600740057095"
"48","72566638"
"49","948070074"
"50","1498106087651917840"
"51","2288764886"
"52","1225184649607045126"
"53","825473731958960128"
"54","948070074"
"55","2993162215"
"56","948070074"
"57","2571617886"
"58","948070074"
"59","162602346"
"60","258893263"
"61","1566687110"
"62","948070074"
"63","1452773499689488385"
"64","948070074"
"65","948070074"
"66","1295086636112412673"
"67","948070074"
"68","1230588197748396032"
"69","948070074"
"70","948070074"
"71","376919688"
"72","948070074"
"73","600958397"
"74","948070074"
"75","1081193838"
"76","600958397"
"77","2402924173"
"78","3031245040"
"79","34830464"
"80","780896683513122816"
"81","1451994701280710664"
"82","121942507"
"83","3735761294"
"84","1510996411755679747"
"85","948070074"
"86","948070074"
"87","948070074"
"88","1067484425947152386"
"89","41701359"
"90","1068231814760857601"
"91","948070074"
"92","732689699286867968"
"93","948070074"
"94","948070074"
"95","557718032"
"96","415997259"
"97","41679815"
"98","244281354"
"99","244281354"
"100","20831756"
"101","948070074"
"102","1451994701280710664"
"103","20711905"
"104","70506655"
"105","948070074"
"106","451894146"
"107","1561543978767491072"
"108","948070074"
"109","766010821315100672"
"110","948070074"
"111","1101459576484839430"
"112","233743013"
"113","4450329345"
"114","608475754"
"115","948070074"
"116","948070074"
"117","23006784"
"118","1211137808523333632"
"119","2329588098"
"120","944250162"
"121","948070074"
"122","235291713"
"123","984156770707935232"
"124","948070074"
"125","44239472"
"126","1450060784"
"127","117281027"
"128","1251176112786374658"
"129","948070074"
"130","1540868041621348356"
"131","2779236836"
"132","948070074"
"133","1211094273753370629"
"134","1454901784741359616"
"135","24182397"
"136","948070074"
"137","395612542"
"138","948070074"
"139","948070074"
"140","948070074"
"141","1211137808523333632"
"142","948070074"
"143","423858414"
"144","948070074"
"145","1270708625452011521"
"146","948070074"
"147","41701359"
"148","1043951627743514625"
"149","948070074"
"150","1211094273753370629"
"151","23006784"
"152","118677025"
"153","948070074"
"154","40559173"
"155","1305191165579337728"
"156","948070074"
"157","948070074"
"158","724038277120978944"
"159","948070074"
"160","22803845"
"161","948070074"
"162","238723704"
"163","453701696"
"164","948070074"
"165","1591236304733458432"
"166","1099798327737180160"
"167","948070074"
"168","776548352439693312"
"169","1157140597100175360"
"170","948070074"
"171","2901011635"
"172","948070074"
"173","19992723"
"174","711612647322439681"
"175","948070074"
"176","318177664"
"177","1513890524427698180"
"178","103484925"
"179","948070074"
"180","380267058"
"181","3195637345"
"182","1143543669972246528"
"183","1211094273753370629"
"184","1341518572133216257"
"185","22379003"
"186","2236163444"
"187","1573453010486820887"
"188","1482544218258223104"
"189","1454901784741359616"
"190","395612542"
"191","238723704"
"192","1450060784"
"193","1306235910"
"194","745174383551930368"
"195","19992723"
"196","1211094273753370629"
"197","2544227706"
"198","441486590"
"199","1217225026673528833"
"200","1306235910"
"201","1113908459962081286"
"202","948070074"
"203","1202408981496573952"
"204","2993162215"
"205","2390432520"
"206","948070074"
"207","948070074"
"208","962184366821662721"
"209","948070074"
"210","63509170"
"211","948070074"
"212","41686777"
"213","3751973549"
"214","1427999541081608193"
"215","1306235910"
"216","948070074"
"217","2421293407"
"218","389345775"
"219","948070074"
"220","948070074"
"221","1454901784741359616"
"222","948070074"
"223","18907604"
"224","2238458354"
"225","948070074"
"226","608475754"
"227","24182397"
"228","1202408981496573952"
"229","948070074"
"230","2993162215"
"231","948070074"
"232","4450329345"
"233","143109443"
"234","1852851601"
"235","948070074"
"236","347268873"
"237","948070074"
"238","50240784"
"239","948070074"
"240","948070074"
"241","1126180724535644160"
"242","948070074"
"243","39881855"
"244","41679815"
"245","948070074"
"246","238723704"
"247","294890794"
"248","948070074"
"249","1233819601286373378"
"250","1561543978767491072"
"251","948070074"
"252","2763443085"
"253","1585407477557911552"
"254","948070074"
"255","1473522495353507842"
"256","1032797146947497984"
"257","608475754"
"258","948070074"
"259","1952519106"
"260","2763443085"
"261","582354031"
"262","948070074"
"263","557718032"
"264","172962365"
"265","948070074"
"266","948070074"
"267","2472652999"
"268","30572956"
"269","948070074"
"270","948070074"
"271","1585407477557911552"
"272","3751973549"
"273","2266958358"
"274","401018849"
"275","948070074"
"276","1059241873"
"277","294890794"
"278","948070074"
"279","948070074"
"280","948070074"
"281","942134269"
"282","120877054"
"283","29362926"
"284","1585407477557911552"
"285","948070074"
"286","948070074"
"287","395612542"
"288","948070074"
"289","1483009740"
"290","948070074"
"291","61398906"
"292","1490058084231880704"
"293","948070074"
"294","1306235910"
"295","948070074"
"296","1532828040702881793"
"297","948070074"
"298","370965085"
"299","948070074"
"300","36854356"
"301","23006784"
"302","948070074"
"303","1585407477557911552"
"304","63509170"
"305","948070074"
"306","1459650685427986436"
"307","948070074"
"308","918126008859021312"
"309","1585407477557911552"
"310","1494769428038361101"
"311","32267338"
"312","1561543978767491072"
"313","948070074"
"314","1631934570"
"315","80376324"
"316","948070074"
"317","793327601494339584"
"318","948070074"
"319","1585407477557911552"
"320","1275876183003955200"
"321","948070074"
"322","107635648"
"323","948070074"
"324","1373447610"
"325","3790481060"
"326","747941613054267392"
"327","948070074"
"328","948070074"
"329","948070074"
"330","533630397"
"331","1347573974935490563"
"332","1202408981496573952"
"333","1585407477557911552"
"334","264684257"
"335","21144601"
"336","1347573974935490563"
"337","948070074"
"338","4895336232"
"339","1072899789619118080"
"340","948070074"
"341","79313629"
"342","1306235910"
"343","948070074"
"344","1585407477557911552"
"345","1582081025190117391"
"346","948070074"
"347","118288462"
"348","44408295"
"349","948070074"
"350","347268873"
"351","948070074"
"352","1432570985639727109"
"353","20935274"
"354","237089251"
"355","948070074"
"356","36854356"
